File_Name,Variable,Description,,,,,,
False_Creek_Bioblitz_Species_List_June2024.csv,Specimen ID or Observation ID,Unique identication number assigned to each specimen observation,,,,,,
False_Creek_Bioblitz_Species_List_June2024.csv,Category,Broad taxonomic grouping of the specimen observation,,,,,,
False_Creek_Bioblitz_Species_List_June2024.csv,Group,Latin name of broad taxonomic grouping,,,,,,
False_Creek_Bioblitz_Species_List_June2024.csv,Museum accession,Accession number of specimens that have been vouchered in a museum collection,,,,,,
False_Creek_Bioblitz_Species_List_June2024.csv,Location of voucher specimen,Name of the museum housing the vouchered specimen,,,,,,
False_Creek_Bioblitz_Species_List_June2024.csv,Database,Name of the public database housing the specimen observation,,,,,,
False_Creek_Bioblitz_Species_List_June2024.csv,Link to dataset,Link to the project within a public database,,,,,,
False_Creek_Bioblitz_Species_List_June2024.csv,Link to specimen,Link to the specimen within a public database,,,,,,
False_Creek_Bioblitz_Species_List_June2024.csv,Observation type,Denotes whether the specimen was either visually observed or collected and vouchered,,,,,,
False_Creek_Bioblitz_Species_List_June2024.csv,Genetic sample?,Indicates when there is a genetic sample for the specimen,,,,,,
False_Creek_Bioblitz_Species_List_June2024.csv,Genetic status,Status of the genetic processing,,,,,,
False_Creek_Bioblitz_Species_List_June2024.csv,Observation Date,Date the specimen was observed,,,,,,
False_Creek_Bioblitz_Species_List_June2024.csv,Morphological Identification,Best identification based on morphological characters,,,,,,
False_Creek_Bioblitz_Species_List_June2024.csv,Common name,Common name of the specimen,,,,,,
False_Creek_Bioblitz_Species_List_June2024.csv,Genetic Idenification,Best idetnification based on gentic sequence data,,,,,,
False_Creek_Bioblitz_Species_List_June2024.csv,Phylum,Phylum of the specimen,,,,,,
False_Creek_Bioblitz_Species_List_June2024.csv,Class,Class of the specimen,,,,,,
False_Creek_Bioblitz_Species_List_June2024.csv,Order,Order of the specimen,,,,,,
False_Creek_Bioblitz_Species_List_June2024.csv,Family,Family of the specimen,,,,,,
False_Creek_Bioblitz_Species_List_June2024.csv,Genus,Genus of the specimen,,,,,,
False_Creek_Bioblitz_Species_List_June2024.csv,Species,Species of the specimen,,,,,,
False_Creek_Bioblitz_Species_List_June2024.csv,Identifier Name or User ID,Name of individual who visually identified the specimen,,,,,,
False_Creek_Bioblitz_Species_List_June2024.csv,Notes,collection notes,,,,,,
False_Creek_Bioblitz_Species_List_June2024.csv,Country/Ocean,Country where specimen was observed,,,,,,
False_Creek_Bioblitz_Species_List_June2024.csv,State/Province,Province where specimen was observed,,,,,,
False_Creek_Bioblitz_Species_List_June2024.csv,Region,Region where specimen was observed,,,,,,
False_Creek_Bioblitz_Species_List_June2024.csv,Sector,Sector where specimen was observed,,,,,,
False_Creek_Bioblitz_Species_List_June2024.csv,Exact Site,Exact site where specimen was observed,,,,,,
False_Creek_Bioblitz_Species_List_June2024.csv,Lat,Latitude where specimen was observed,,,,,,
False_Creek_Bioblitz_Species_List_June2024.csv,Lon,Longitude where specimen was observed,,,,,,
False_Creek_Bioblitz_Species_List_June2024.csv,Depth (m),Depth in meters where specimen was observed,,,,,,
False_Creek_Bioblitz_Species_List_June2024.csv,Habitat,Habitat where specimen was observed,,,,,,
False_Creek_Bioblitz_Species_List_June2024.csv,Sampling Protocol,Protocol used for specimen collection or observation,,,,,,
False_Creek_Bioblitz_Species_List_June2024.csv,Site Code,Project-specific code to denote sample location,,,,,,
False_Creek_Bioblitz_Species_List_June2024.csv,Collection Event ID,Project-specific code to denote the collection event,,,,,,
"False_Creek_Bioblitz_Oceanography_Dec06,2023.csv",SampleID,,,,,,,
"False_Creek_Bioblitz_Oceanography_Dec06,2023.csv",Station,,,,,,,
"False_Creek_Bioblitz_Oceanography_Dec06,2023.csv",Location,,,,,,,
"False_Creek_Bioblitz_Oceanography_Dec06,2023.csv",Lat,,,,,,,
"False_Creek_Bioblitz_Oceanography_Dec06,2023.csv",Lon,,,,,,,
"False_Creek_Bioblitz_Oceanography_Dec06,2023.csv",Depth,,,,,,,
"False_Creek_Bioblitz_Oceanography_Dec06,2023.csv",Depth_cat,,,,,,,
"False_Creek_Bioblitz_Oceanography_Dec06,2023.csv",Temp,,,,,,,
"False_Creek_Bioblitz_Oceanography_Dec06,2023.csv",Salinity,,,,,,,
"False_Creek_Bioblitz_Oceanography_Dec06,2023.csv",TA_umolkg,,,,,,,
"False_Creek_Bioblitz_Oceanography_Dec06,2023.csv",pCO2_T,,,,,,,
"False_Creek_Bioblitz_Oceanography_Dec06,2023.csv",TCO2_umolkg,,,,,,,
"False_Creek_Bioblitz_Oceanography_Dec06,2023.csv",pH_T,,,,,,,
"False_Creek_Bioblitz_Oceanography_Dec06,2023.csv",Omega_Ar,,,,,,,
"False_Creek_Bioblitz_Oceanography_Dec06,2023.csv",Omega_Ca,,,,,,,
"False_Creek_Bioblitz_Oceanography_Dec06,2023.csv",NO2NO3,,,,,,,
"False_Creek_Bioblitz_Oceanography_Dec06,2023.csv",PO4,,,,,,,
"False_Creek_Bioblitz_Oceanography_Dec06,2023.csv",SiO2,,,,,,,
"FalseCreek_eDNA_Sample_Metadata_Sept19,2022.csv",Sample_ID,Unique identication number assigned to each 1L seawater sample,,,,,,
"FalseCreek_eDNA_Sample_Metadata_Sept19,2022.csv",Station_ID,The numerical code for the location where each seawater sample was collected,,,,,,
"FalseCreek_eDNA_Sample_Metadata_Sept19,2022.csv",Treatment,"Identifies each seawater sample as being from the surface, at the bottom near the substrate, or a field blank (control)",,,,,,
"FalseCreek_eDNA_Sample_Metadata_Sept19,2022.csv",Depth,The depth below the surface in meters where each seawater sample was collected,,,,,,
"FalseCreek_eDNA_Sample_Metadata_Sept19,2022.csv",Depth2,N/A,,,,,,
"FalseCreek_eDNA_Sample_Metadata_Sept19,2022.csv",Filter_start_time,The time when filtering began for each sample,,,,,,
"FalseCreek_eDNA_Sample_Metadata_Sept19,2022.csv",Filter_end_time,The time when filtering ended for each sample,,,,,,
"FalseCreek_eDNA_Sample_Metadata_Sept19,2022.csv",Filter_vol_ml,The total volume of seawater filtered for each sample,,,,,,
"FalseCreek_eDNA_Sample_Metadata_Sept19,2022.csv",Collection_date,The date on which each seawater sample was collected,,,,,,
"FalseCreek_eDNA_Sample_Metadata_Sept19,2022.csv",Lat,The latitude where each seawater sample was collected,,,,,,
"FalseCreek_eDNA_Sample_Metadata_Sept19,2022.csv",Lon,The longitude where each seawater sample was collected,,,,,,
"FalseCreek_eDNA_Sample_Metadata_Sept19,2022.csv",lat_lon,Concatinated latitude and longitude values,,,,,,
"FalseCreek_eDNA_Sample_Metadata_Sept19,2022.csv",Notes,Notes on sample collection or filtering,,,,,,
"FalseCreek_eDNA_Sample_Metadata_Sept19,2022.csv",Location,The place name for the location where each seawater sample was collected,,,,,,